Table with row labels in columns A and B and column labels headers in rows 5 through 8.,,,
Table 1. State-to-State Migration Flows1: 2024 American Community Survey 1-Year Estimates,,,
Universe: Population 1 year and over,,,
,,,
Current residence,Residence 1 year ago2,Movers to current residence from residence 1 year ago,
,,,
,,,
,,Estimate,Margin of error3 (±)
Alabama,Alabama,X,X
Alabama,Alaska,387,404
Alabama,Arizona,"2,055","1,402"
Alabama,Arkansas,958,757
Alabama,California,"7,145","2,936"
Alabama,Colorado,"2,994","1,616"
Alabama,Connecticut,N,N
Alabama,Delaware,0,213
Alabama,District of Columbia ,0,213
Alabama,Florida,"16,423","4,099"
Alabama,Georgia,"15,194","2,860"
Alabama,Hawaii,772,"1,029"
Alabama,Idaho,973,944
Alabama,Illinois,"5,231","1,900"
Alabama,Indiana,"1,904",936
Alabama,Iowa,427,327
Alabama,Kansas,"1,390","1,677"
Alabama,Kentucky,"2,576",890
Alabama,Louisiana,"2,529",828
Alabama,Maine,98,136
Alabama,Maryland,"1,291",705
Alabama,Massachusetts,"1,485","1,050"
Alabama,Michigan,"2,469",951
Alabama,Minnesota,628,692
Alabama,Mississippi,"7,574","2,264"
Alabama,Missouri,"1,058",741
Alabama,Montana,261,248
Alabama,Nebraska,528,538
Alabama,Nevada,586,493
Alabama,New Hampshire,318,319
Alabama,New Jersey,"2,906","2,113"
Alabama,New Mexico,375,340
Alabama,New York,"2,937","2,349"
Alabama,North Carolina,"1,510",879
Alabama,North Dakota,0,213
Alabama,Ohio,"2,748","1,678"
Alabama,Oklahoma,840,646
Alabama,Oregon,373,469
Alabama,Pennsylvania,"1,036",608
Alabama,Rhode Island,0,213
Alabama,South Carolina,"1,775",925
Alabama,South Dakota,521,401
Alabama,Tennessee,"11,339","2,639"
Alabama,Texas,"7,428","2,159"
Alabama,Utah,636,526
Alabama,Vermont,0,213
Alabama,Virginia,"5,056","2,688"
Alabama,Washington,"2,154","1,499"
Alabama,West Virginia,N,N
Alabama,Wisconsin,362,326
Alabama,Wyoming,517,612
Alabama,Puerto Rico,N,N
Alabama,U.S. Island Areas,"1,200",851
Alabama,Foreign country,"21,176","4,769"
Alaska,Alabama,244,292
Alaska,Alaska,X,X
Alaska,Arizona,"1,336","1,005"
Alaska,Arkansas,N,N
Alaska,California,"1,950",807
Alaska,Colorado,"1,526",788
Alaska,Connecticut,N,N
Alaska,Delaware,0,172
Alaska,District of Columbia ,0,172
Alaska,Florida,"1,069",680
Alaska,Georgia,948,777
Alaska,Hawaii,551,318
Alaska,Idaho,350,307
Alaska,Illinois,0,172
Alaska,Indiana,267,282
Alaska,Iowa,0,172
Alaska,Kansas,96,146
Alaska,Kentucky,0,172
Alaska,Louisiana,489,503
Alaska,Maine,N,N
Alaska,Maryland,0,172
Alaska,Massachusetts,"1,834","2,327"
Alaska,Michigan,493,430
Alaska,Minnesota,562,497
Alaska,Mississippi,N,N
Alaska,Missouri,937,"1,053"
Alaska,Montana,149,136
Alaska,Nebraska,0,172
Alaska,Nevada,655,596
Alaska,New Hampshire,N,N
Alaska,New Jersey,320,318
Alaska,New Mexico,381,370
Alaska,New York,709,"1,031"
Alaska,North Carolina,361,301
Alaska,North Dakota,0,172
