year,destination,inflow,outflow,net_migration,state,unemployment_rate
2015,Alabama,114876,100809,14067,Alabama,6.1
2015,Alaska,34696,40552,-5856,Alaska,6.3
2015,Arizona,253281,184476,68805,Arizona,6.1
2015,Arkansas,81594,76673,4921,Arkansas,5.0
2015,California,514477,643710,-129233,California,6.2
2015,Colorado,227445,182945,44500,Colorado,3.7
2015,Connecticut,76997,103343,-26346,Connecticut,5.6
2015,Delaware,44495,30881,13614,Delaware,4.8
2015,District of Columbia,59905,64736,-4831,District of Columbia,6.9
2015,Florida,584938,445320,139618,Florida,5.5
2015,Georgia,283325,249302,34023,Georgia,6.1
2015,Hawaii,53742,60459,-6717,Hawaii,3.4
2015,Idaho,73809,55885,17924,Idaho,3.9
2015,Illinois,209828,337592,-127764,Illinois,6.0
2015,Indiana,147529,141616,5913,Indiana,4.8
2015,Iowa,85937,81054,4883,Iowa,3.7
2015,Kansas,91340,99652,-8312,Kansas,4.2
2015,Kentucky,106918,109026,-2108,Kentucky,5.3
2015,Louisiana,93321,100167,-6846,Louisiana,6.3
2015,Maine,30123,37053,-6930,Maine,4.4
2015,Maryland,168894,181803,-12909,Maryland,5.0
2015,Massachusetts,132642,174793,-42151,Massachusetts,4.8
2015,Michigan,142639,180337,-37698,Michigan,5.4
2015,Minnesota,108476,127471,-18995,Minnesota,3.8
2015,Mississippi,69351,81358,-12007,Mississippi,6.5
2015,Missouri,159152,155529,3623,Missouri,5.1
2015,Montana,42760,32620,10140,Montana,4.3
2015,Nebraska,52950,53210,-260,Nebraska,3.0
2015,Nevada,135999,99409,36590,Nevada,6.9
2015,New Hampshire,53446,41885,11561,New Hampshire,3.4
2015,New Jersey,144074,227380,-83306,New Jersey,5.7
2015,New Mexico,55753,68415,-12662,New Mexico,6.6
2015,New York,257611,448855,-191244,New York,5.2
2015,North Carolina,310612,237206,73406,North Carolina,5.7
2015,North Dakota,42618,31867,10751,North Dakota,2.8
2015,Ohio,203475,213236,-9761,Ohio,5.0
2015,Oklahoma,110878,98771,12107,Oklahoma,4.3
2015,Oregon,141162,109240,31922,Oregon,5.5
2015,Pennsylvania,232683,262887,-30204,Pennsylvania,5.4
2015,Rhode Island,38344,29918,8426,Rhode Island,6.0
2015,South Carolina,170366,134555,35811,South Carolina,5.9
2015,South Dakota,26962,25769,1193,South Dakota,3.0
2015,Tennessee,195923,176961,18962,Tennessee,5.5
2015,Texas,553032,445343,107689,Texas,4.5
2015,Utah,97361,84071,13290,Utah,3.5
2015,Vermont,21232,22135,-903,Vermont,3.5
2015,Virginia,277715,268593,9122,Virginia,4.4
2015,Washington,230907,178528,52379,Washington,5.5
2015,West Virginia,42078,51953,-9875,West Virginia,6.5
2015,Wisconsin,106511,109243,-2732,Wisconsin,4.4
2015,Wyoming,35947,31537,4410,Wyoming,4.2
2016,Alabama,122220,99892,22328,Alabama,5.8
2016,Alaska,31300,42074,-10774,Alaska,6.6
2016,Arizona,273257,192103,81154,Arizona,5.5
2016,Arkansas,71083,72033,-950,Arkansas,4.0
2016,California,514758,657690,-142932,California,5.5
2016,Colorado,223260,193179,30081,Colorado,3.1
2016,Connecticut,75586,112914,-37328,Connecticut,4.9
2016,Delaware,33400,28742,4658,Delaware,4.5
2016,District of Columbia,58154,59972,-1818,District of Columbia,6.2
2016,Florida,605018,433452,171566,Florida,4.9
2016,Georgia,305040,258942,46098,Georgia,5.4
2016,Hawaii,57229,64119,-6890,Hawaii,2.9
2016,Idaho,71556,55772,15784,Idaho,3.7
2016,Illinois,203713,345528,-141815,Illinois,5.9
2016,Indiana,145782,137409,8373,Indiana,4.4
2016,Iowa,78263,76999,1264,Iowa,3.6
2016,Kansas,88830,92821,-3991,Kansas,4.0
2016,Kentucky,113238,103370,9868,Kentucky,5.1
2016,Louisiana,85371,92190,-6819,Louisiana,6.0
2016,Maine,38590,32973,5617,Maine,3.8
2016,Maryland,158647,186118,-27471,Maryland,4.2
2016,Massachusetts,149408,176873,-27465,Massachusetts,4.0
2016,Michigan,155874,156354,-480,Michigan,5.0
2016,Minnesota,111307,121583,-10276,Minnesota,3.9
2016,Mississippi,64639,77509,-12870,Mississippi,6.0
2016,Missouri,162809,159177,3632,Missouri,4.6
2016,Montana,37775,31479,6296,Montana,4.3
2016,Nebraska,51448,47456,3992,Nebraska,3.1
2016,Nevada,117899,88563,29336,Nevada,5.8
2016,New Hampshire,52457,45628,6829,New Hampshire,2.9
2016,New Jersey,144359,226830,-82471,New Jersey,4.9
2016,New Mexico,64802,65578,-776,New Mexico,6.8
2016,New York,260723,450136,-189413,New York,4.9
2016,North Carolina,330896,256563,74333,North Carolina,5.1
2016,North Dakota,29655,37658,-8003,North Dakota,3.0
2016,Ohio,195396,212041,-16645,Ohio,5.0
2016,Oklahoma,102000,105685,-3685,Oklahoma,4.6
