destination,origin,flow,year
Alaska,Alabama,151,2022
Arizona,Alabama,727,2022
Arkansas,Alabama,1911,2022
California,Alabama,5204,2022
Colorado,Alabama,700,2022
Connecticut,Alabama,1005,2022
Delaware,Alabama,203,2022
District of Columbia,Alabama,419,2022
Florida,Alabama,14734,2022
Georgia,Alabama,21031,2022
Hawaii,Alabama,1611,2022
Idaho,Alabama,0,2022
Illinois,Alabama,2389,2022
Indiana,Alabama,792,2022
Iowa,Alabama,180,2022
Kansas,Alabama,1371,2022
Kentucky,Alabama,1218,2022
Louisiana,Alabama,1332,2022
Maine,Alabama,274,2022
Maryland,Alabama,1256,2022
Massachusetts,Alabama,1082,2022
Michigan,Alabama,1846,2022
Minnesota,Alabama,732,2022
Mississippi,Alabama,5444,2022
Missouri,Alabama,570,2022
Montana,Alabama,168,2022
Nebraska,Alabama,1418,2022
Nevada,Alabama,1007,2022
New Hampshire,Alabama,0,2022
New Jersey,Alabama,565,2022
New Mexico,Alabama,316,2022
New York,Alabama,804,2022
North Carolina,Alabama,3872,2022
North Dakota,Alabama,78,2022
Ohio,Alabama,3028,2022
Oklahoma,Alabama,846,2022
Oregon,Alabama,216,2022
Pennsylvania,Alabama,775,2022
Rhode Island,Alabama,184,2022
South Carolina,Alabama,1438,2022
South Dakota,Alabama,0,2022
Tennessee,Alabama,9375,2022
Texas,Alabama,8618,2022
Utah,Alabama,609,2022
Vermont,Alabama,0,2022
Virginia,Alabama,1794,2022
Washington,Alabama,488,2022
West Virginia,Alabama,478,2022
Wisconsin,Alabama,635,2022
Wyoming,Alabama,0,2022
Alabama,Alaska,714,2022
Arizona,Alaska,2091,2022
Arkansas,Alaska,64,2022
California,Alaska,2040,2022
Colorado,Alaska,1961,2022
Connecticut,Alaska,97,2022
Delaware,Alaska,0,2022
District of Columbia,Alaska,0,2022
Florida,Alaska,1418,2022
Georgia,Alaska,210,2022
Hawaii,Alaska,773,2022
Idaho,Alaska,411,2022
Illinois,Alaska,434,2022
Indiana,Alaska,1118,2022
Iowa,Alaska,118,2022
Kansas,Alaska,218,2022
Kentucky,Alaska,182,2022
Louisiana,Alaska,432,2022
Maine,Alaska,11,2022
Maryland,Alaska,364,2022
Massachusetts,Alaska,154,2022
Michigan,Alaska,487,2022
Minnesota,Alaska,269,2022
Mississippi,Alaska,90,2022
Missouri,Alaska,414,2022
Montana,Alaska,498,2022
Nebraska,Alaska,12,2022
Nevada,Alaska,1537,2022
New Hampshire,Alaska,209,2022
New Jersey,Alaska,0,2022
New Mexico,Alaska,301,2022
New York,Alaska,387,2022
North Carolina,Alaska,1900,2022
North Dakota,Alaska,453,2022
Ohio,Alaska,168,2022
Oklahoma,Alaska,1124,2022
Oregon,Alaska,236,2022
Pennsylvania,Alaska,519,2022
Rhode Island,Alaska,0,2022
South Carolina,Alaska,332,2022
South Dakota,Alaska,165,2022
Tennessee,Alaska,1025,2022
Texas,Alaska,3943,2022
Utah,Alaska,338,2022
Vermont,Alaska,203,2022
Virginia,Alaska,1513,2022
Washington,Alaska,3048,2022
West Virginia,Alaska,0,2022
Wisconsin,Alaska,774,2022
Wyoming,Alaska,0,2022
Alabama,Arizona,1202,2022
Alaska,Arizona,1645,2022
Arkansas,Arizona,1776,2022
California,Arizona,27412,2022
Colorado,Arizona,7386,2022
Connecticut,Arizona,1267,2022
Delaware,Arizona,949,2022
District of Columbia,Arizona,712,2022
Florida,Arizona,11901,2022
Georgia,Arizona,1798,2022
Hawaii,Arizona,2750,2022
Idaho,Arizona,3633,2022
Illinois,Arizona,5377,2022
Indiana,Arizona,4953,2022
Iowa,Arizona,2264,2022
Kansas,Arizona,1519,2022
Kentucky,Arizona,2618,2022
Louisiana,Arizona,315,2022
Maine,Arizona,138,2022
Maryland,Arizona,1439,2022
Massachusetts,Arizona,2251,2022
Michigan,Arizona,3772,2022
Minnesota,Arizona,4234,2022
Mississippi,Arizona,1848,2022
Missouri,Arizona,3576,2022
Montana,Arizona,2415,2022
Nebraska,Arizona,3661,2022
Nevada,Arizona,6888,2022
New Hampshire,Arizona,430,2022
New Jersey,Arizona,1077,2022
New Mexico,Arizona,6862,2022
New York,Arizona,4661,2022
North Carolina,Arizona,5619,2022
North Dakota,Arizona,535,2022
Ohio,Arizona,5224,2022
Oklahoma,Arizona,4822,2022
Oregon,Arizona,6108,2022
Pennsylvania,Arizona,5561,2022
Rhode Island,Arizona,662,2022
South Carolina,Arizona,2628,2022
South Dakota,Arizona,1446,2022
Tennessee,Arizona,4584,2022
Texas,Arizona,22634,2022
Utah,Arizona,5357,2022
Vermont,Arizona,264,2022
Virginia,Arizona,3478,2022
Washington,Arizona,7237,2022
West Virginia,Arizona,240,2022
Wisconsin,Arizona,3474,2022
Wyoming,Arizona,2132,2022
Alabama,Arkansas,1536,2022
Alaska,Arkansas,10,2022
Arizona,Arkansas,1147,2022
California,Arkansas,963,2022
Colorado,Arkansas,2557,2022
Connecticut,Arkansas,625,2022
Delaware,Arkansas,0,2022
District of Columbia,Arkansas,21,2022
Florida,Arkansas,3204,2022
Georgia,Arkansas,531,2022
Hawaii,Arkansas,75,2022
Idaho,Arkansas,299,2022
Illinois,Arkansas,1468,2022
Indiana,Arkansas,2888,2022
Iowa,Arkansas,580,2022
Kansas,Arkansas,1016,2022
Kentucky,Arkansas,343,2022
Louisiana,Arkansas,2429,2022
Maine,Arkansas,27,2022
Maryland,Arkansas,67,2022
Massachusetts,Arkansas,904,2022
Michigan,Arkansas,640,2022
Minnesota,Arkansas,713,2022
Mississippi,Arkansas,1290,2022
Missouri,Arkansas,9590,2022
Montana,Arkansas,32,2022
Nebraska,Arkansas,202,2022
Nevada,Arkansas,771,2022
New Hampshire,Arkansas,0,2022
New Jersey,Arkansas,221,2022
New Mexico,Arkansas,205,2022
New York,Arkansas,430,2022
North Carolina,Arkansas,2057,2022
North Dakota,Arkansas,34,2022
Ohio,Arkansas,1804,2022
Oklahoma,Arkansas,4277,2022
Oregon,Arkansas,422,2022
Pennsylvania,Arkansas,624,2022
Rhode Island,Arkansas,85,2022
South Carolina,Arkansas,819,2022
South Dakota,Arkansas,342,2022
Tennessee,Arkansas,7202,2022
Texas,Arkansas,18562,2022
Utah,Arkansas,690,2022
Vermont,Arkansas,428,2022
Virginia,Arkansas,301,2022
Washington,Arkansas,1105,2022
West Virginia,Arkansas,121,2022
Wisconsin,Arkansas,694,2022
Wyoming,Arkansas,57,2022
Alabama,California,8012,2022
Alaska,California,3855,2022
Arizona,California,74157,2022
Arkansas,California,7783,2022
Colorado,California,33213,2022
Connecticut,California,7097,2022
Delaware,California,660,2022
District of Columbia,California,4539,2022
Florida,California,50701,2022
Georgia,California,25960,2022
Hawaii,California,10562,2022
Idaho,California,26887,2022
Illinois,California,20573,2022
Indiana,California,7769,2022
Iowa,California,2349,2022
Kansas,California,5520,2022
Kentucky,California,5985,2022
Louisiana,California,4847,2022
Maine,California,3552,2022
Maryland,California,7198,2022
Massachusetts,California,18543,2022
Michigan,California,13939,2022
Minnesota,California,6908,2022
Mississippi,California,1638,2022
Missouri,California,12107,2022
Montana,California,4660,2022
Nebraska,California,1535,2022
Nevada,California,48836,2022
New Hampshire,California,2974,2022
New Jersey,California,6543,2022
New Mexico,California,8897,2022
New York,California,34681,2022
North Carolina,California,22891,2022
North Dakota,California,1989,2022
Ohio,California,11924,2022
Oklahoma,California,15200,2022
Oregon,California,36429,2022
Pennsylvania,California,16336,2022
Rhode Island,California,919,2022
South Carolina,California,15035,2022
South Dakota,California,957,2022
Tennessee,California,22565,2022
Texas,California,102442,2022
Utah,California,18669,2022
Vermont,California,855,2022
Virginia,California,19036,2022
Washington,California,49968,2022
West Virginia,California,879,2022
Wisconsin,California,7537,2022
Wyoming,California,1558,2022
Alabama,Colorado,3329,2022
Alaska,Colorado,665,2022
Arizona,Colorado,12232,2022
Arkansas,Colorado,2562,2022
California,Colorado,19970,2022
Connecticut,Colorado,1992,2022
Delaware,Colorado,123,2022
District of Columbia,Colorado,1187,2022
Florida,Colorado,20980,2022
Georgia,Colorado,5419,2022
Hawaii,Colorado,2750,2022
Idaho,Colorado,1655,2022
Illinois,Colorado,6720,2022
Indiana,Colorado,3586,2022
Iowa,Colorado,1932,2022
Kansas,Colorado,7359,2022
Kentucky,Colorado,2182,2022
Louisiana,Colorado,3329,2022
Maine,Colorado,1332,2022
Maryland,Colorado,1148,2022
Massachusetts,Colorado,2186,2022
Michigan,Colorado,4589,2022
Minnesota,Colorado,3620,2022
Mississippi,Colorado,2701,2022
Missouri,Colorado,8042,2022
Montana,Colorado,3440,2022
Nebraska,Colorado,6422,2022
Nevada,Colorado,4522,2022
New Hampshire,Colorado,1025,2022
New Jersey,Colorado,1905,2022
New Mexico,Colorado,7846,2022
New York,Colorado,5720,2022
North Carolina,Colorado,7298,2022
North Dakota,Colorado,912,2022
Ohio,Colorado,4849,2022
Oklahoma,Colorado,5902,2022
Oregon,Colorado,4827,2022
Pennsylvania,Colorado,3840,2022
Rhode Island,Colorado,0,2022
South Carolina,Colorado,2472,2022
South Dakota,Colorado,726,2022
Tennessee,Colorado,4105,2022
Texas,Colorado,24511,2022
Utah,Colorado,5327,2022
Vermont,Colorado,230,2022
Virginia,Colorado,4485,2022
Washington,Colorado,9396,2022
West Virginia,Colorado,210,2022
Wisconsin,Colorado,2564,2022
Wyoming,Colorado,5076,2022
Alabama,Connecticut,868,2022
Alaska,Connecticut,15,2022
Arizona,Connecticut,339,2022
Arkansas,Connecticut,210,2022
California,Connecticut,4977,2022
